Date,Open,High,Low,Close,Adj Close,Volume
2014-02-01,74.480003,78.000000,70.519997,73.820000,57.486366,33483800
2014-03-01,73.180000,77.750000,72.769997,74.019997,57.642113,37553900
2014-04-01,74.419998,75.000000,66.440002,70.389999,55.154507,44145400
2014-05-01,70.809998,72.480003,67.540001,72.000000,56.416058,29519900
2014-06-01,72.059998,72.489998,69.160004,70.949997,55.593307,29454300
2014-07-01,70.980003,76.220001,69.739998,73.940002,58.330563,30970100
2014-08-01,73.709999,77.419998,72.250000,76.550003,60.389565,28218500
2014-09-01,76.580002,83.660004,75.300003,79.959999,63.079666,34046100
2014-10-01,79.959999,83.879997,75.940002,83.809998,66.525864,41854800
2014-11-01,84.110001,86.400002,82.510002,84.639999,67.184715,24498400
2014-12-01,84.589996,93.910004,84.010002,88.650002,70.367737,34081700
2015-01-01,89.220001,89.970001,83.430000,85.300003,69.569794,31165900
2015-02-01,85.839996,97.120003,84.769997,95.930000,78.239487,27778900
2015-03-01,95.730003,100.610001,93.680000,94.709999,77.244453,41158800
2015-04-01,94.480003,94.980003,88.220001,90.910004,74.530106,34832700
2015-05-01,91.639999,96.489998,89.760002,94.199997,77.227325,25663400
2015-06-01,94.480003,99.220001,92.309998,93.059998,76.292725,33900500
2015-07-01,93.830002,100.870003,93.110001,96.040001,79.148262,29545500
2015-08-01,96.370003,98.660004,84.330002,94.440002,77.829643,34771700
2015-09-01,92.349998,96.230003,89.300003,92.739998,76.428658,37164000
2015-10-01,92.830002,97.820000,86.980003,94.470001,78.277824,31161000
2015-11-01,94.959999,98.870003,94.059998,97.650002,80.912773,22718600
2015-12-01,98.190002,100.080002,90.160004,90.599998,75.071144,34946500
2016-01-01,88.800003,89.940002,81.870003,89.849998,77.189583,41290600
2016-02-01,89.779999,94.449997,85.470001,91.440002,78.555550,38903200
2016-03-01,91.790001,97.739998,89.870003,96.050003,82.515961,36489100
2016-04-01,95.820000,97.519997,89.000000,91.910004,79.468826,47809500
2016-05-01,92.599998,99.000000,92.000000,97.889999,84.639381,28137300
2016-06-01,97.790001,98.230003,92.290001,97.400002,84.215698,35670100
2016-07-01,97.010002,103.339996,95.599998,102.239998,88.956291,24917300
2016-08-01,102.580002,109.620003,102.300003,108.349998,94.272430,25498500
2016-09-01,108.529999,110.349998,104.199997,104.519997,90.940048,32532600
2016-10-01,104.089996,105.650002,99.180000,100.099998,87.582237,24145000
2016-11-01,100.529999,117.800003,98.949997,112.910004,98.790337,46602100
2016-12-01,113.589996,124.010002,113.000000,115.349998,100.925209,34496200
2017-01-01,116.160004,121.690002,113.269997,121.080002,109.421616,28773100
2017-02-01,121.500000,123.550003,115.599998,121.459999,109.765022,31014300
2017-03-01,123.010002,127.599998,117.099998,118.800003,107.361145,37027300
2017-04-01,118.820000,120.790001,114.820000,116.190002,105.566330,28141200
2017-05-01,116.550003,119.180000,114.879997,117.290001,106.565765,30369300
2017-06-01,117.529999,127.959999,116.620003,125.239998,113.788857,29856600
2017-07-01,125.330002,127.360001,119.300003,122.620003,112.039246,27270900
2017-08-01,123.650002,127.769997,120.320000,125.800003,114.944832,25575400
2017-09-01,125.629997,136.259995,124.510002,135.679993,123.972305,23876300
2017-10-01,135.729996,138.490005,132.330002,137.169998,125.981232,27299200
2017-11-01,137.990005,151.850006,135.610001,140.089996,128.663010,34540400
2017-12-01,151.460007,155.289993,144.839996,146.050003,134.136871,31452700
2018-01-01,146.119995,156.490005,143.679993,153.479996,144.979446,26649300
2018-02-01,155.399994,169.520004,149.380005,166.160004,156.957199,38728800
2018-03-01,166.369995,171.710007,156.429993,161.740005,152.781982,44678000
2018-04-01,161.619995,166.649994,155.399994,157.679993,149.567902,32834000
2018-05-01,157.559998,166.139999,153.899994,162.899994,154.519318,34144900
2018-06-01,164.410004,174.360001,162.389999,163.919998,155.486862,34789200
2018-07-01,163.479996,171.990005,158.350006,159.119995,151.545090,26967600
2018-08-01,159.860001,175.000000,158.860001,174.729996,166.411957,27889800
2018-09-01,174.729996,177.360001,170.039993,170.210007,162.107147,25134400
2018-10-01,171.350006,185.110001,170.490005,183.240005,175.223816,42523600
2018-11-01,183.759995,197.080002,182.970001,190.080002,181.764572,53588500
2018-12-01,190.100006,192.889999,174.500000,188.119995,179.890335,42551400
2019-01-01,186.460007,188.080002,177.210007,182.279999,176.649292,35473000
2019-02-01,182.979996,185.220001,172.759995,181.910004,176.290726,36639500
2019-03-01,182.449997,183.970001,161.050003,164.580002,159.496033,42298300
2019-04-01,165.660004,179.979996,164.750000,178.899994,174.123138,33376900
2019-05-01,174.710007,193.270004,171.009995,192.119995,186.990143,35039700
2019-06-01,192.449997,204.559998,190.970001,194.110001,188.927032,29569100
2019-07-01,195.470001,207.839996,193.089996,194.419998,189.937851,25056300
2019-08-01,194.050003,217.740005,193.649994,217.289993,212.280609,26753500
2019-09-01,216.070007,224.910004,201.779999,211.339996,206.467789,28620300
2019-10-01,211.339996,217.789993,196.949997,205.750000,201.684753,29249200
2019-11-01,206.910004,208.779999,195.789993,202.729996,198.724426,23399700
2019-12-01,202.800003,207.960007,198.350006,200.720001,196.754135,27186100
2020-01-01,201.110001,220.350006,200.580002,217.110001,216.256668,27653000
